Number of nodes 707 
     0 :  3.7500000e-01  5.0000000e-01 
     1 :  0.0000000e+00 -1.0000000e+00 
     2 : -5.0000000e-01 -5.0000000e-01 
     3 :  5.0000000e-01 -1.0000000e+00 
     4 : -5.0000000e-01  1.0000000e+00 
     5 :  5.0000000e-01  1.0000000e+00 
     6 :  3.6783381e-01  5.4171562e-01 
     7 :  3.5803541e-01  5.6287568e-01 
     8 :  3.2456031e-01  6.0032826e-01 
     9 :  2.8941451e-01  6.1862334e-01 
    10 :  2.4241578e-01  6.2476971e-01 
    11 :  2.2080303e-01  6.2154233e-01 
    12 :  1.8421775e-01  6.0629062e-01 
    13 :  1.5410682e-01  5.8018416e-01 
    14 :  1.4211885e-01  5.6313998e-01 
    15 :  1.2768457e-01  5.2576692e-01 
    16 :  1.2585206e-01  4.8542987e-01 
    17 :  1.3808455e-01  4.4432296e-01 
    18 :  1.6167398e-01  4.1154937e-01 
    19 :  1.7742329e-01  3.9822760e-01 
    20 :  1.9453030e-01  3.8798164e-01 
    21 :  2.3334341e-01  3.7611474e-01 
    22 :  2.8064037e-01  3.7881350e-01 
    23 :  2.9943880e-01  3.8519231e-01 
    24 :  3.3281758e-01  4.0637176e-01 
    25 :  3.4661519e-01  4.2068729e-01 
    26 :  3.5814650e-01  4.3731560e-01 
    27 :  3.6687097e-01  4.5565841e-01 
    28 : -1.1718218e-03 -9.6578818e-01 
    29 : -3.6324506e-03 -9.3983975e-01 
    30 : -4.2657347e-03 -9.3482686e-01 
    31 : -5.9381070e-03 -9.2317002e-01 
    32 : -1.1908713e-02 -8.9152468e-01 
    33 : -1.8379881e-02 -8.6567926e-01 
    34 : -2.2682357e-02 -8.5111122e-01 
    35 : -3.2845050e-02 -8.2176910e-01 
    36 : -3.9219126e-02 -8.0588409e-01 
    37 : -5.3538015e-02 -7.7489626e-01 
    38 : -6.3813876e-02 -7.5557892e-01 
    39 : -6.9313256e-02 -7.4601392e-01 
    40 : -7.9836910e-02 -7.2895945e-01 
    41 : -9.9223775e-02 -7.0103777e-01 
    42 : -1.0275300e-01 -6.9636400e-01 
    43 : -1.2517193e-01 -6.6908624e-01 
    44 : -1.5278171e-01 -6.4022305e-01 
    45 : -1.7630924e-01 -6.1891695e-01 
    46 : -1.9255032e-01 -6.0569721e-01 
    47 : -2.1955424e-01 -5.8605534e-01 
    48 : -2.2522586e-01 -5.8226902e-01 
    49 : -2.2955495e-01 -5.7945336e-01 
    50 : -2.4983710e-01 -5.6708139e-01 
    51 : -2.6319919e-01 -5.5963041e-01 
    52 : -2.9684471e-01 -5.4313248e-01 
    53 : -3.0977367e-01 -5.3759980e-01 
    54 : -3.1944047e-01 -5.3374014e-01 
    55 : -3.2422458e-01 -5.3191560e-01 
    56 : -3.5275626e-01 -5.2217233e-01 
    57 : -3.5767948e-01 -5.2068291e-01 
    58 : -3.6743371e-01 -5.1789402e-01 
    59 : -3.8891385e-01 -5.1249629e-01 
    60 : -3.9379225e-01 -5.1141028e-01 
    61 : -3.9871297e-01 -5.1036653e-01 
    62 : -4.1014201e-01 -5.0814073e-01 
    63 : -4.2083395e-01 -5.0630704e-01 
    64 : -4.4840479e-01 -5.0266919e-01 
    65 : -4.7980792e-01 -5.0040789e-01 
    66 : -4.8485138e-01 -5.0022953e-01 
    67 :  1.0000000e-01 -1.0000000e+00 
    68 :  2.0000000e-01 -1.0000000e+00 
    69 :  3.0000000e-01 -1.0000000e+00 
    70 :  4.0000000e-01 -1.0000000e+00 
    71 : -5.0000000e-01  9.0000000e-01 
    72 : -5.0000000e-01  8.0000000e-01 
    73 : -5.0000000e-01  7.0000000e-01 
    74 : -5.0000000e-01  6.0000000e-01 
    75 : -5.0000000e-01  5.0000000e-01 
    76 : -5.0000000e-01  4.0000000e-01 
    77 : -5.0000000e-01  3.0000000e-01 
    78 : -5.0000000e-01  2.0000000e-01 
    79 : -5.0000000e-01  1.0000000e-01 
    80 : -5.0000000e-01  0.0000000e+00 
    81 : -5.0000000e-01 -1.0000000e-01 
    82 : -5.0000000e-01 -2.0000000e-01 
    83 : -5.0000000e-01 -3.0000000e-01 
    84 : -5.0000000e-01 -4.0000000e-01 
    85 :  5.0000000e-01 -9.0000000e-01 
    86 :  5.0000000e-01 -8.0000000e-01 
    87 :  5.0000000e-01 -7.0000000e-01 
    88 :  5.0000000e-01 -6.0000000e-01 
    89 :  5.0000000e-01 -5.0000000e-01 
    90 :  5.0000000e-01 -4.0000000e-01 
    91 :  5.0000000e-01 -3.0000000e-01 
    92 :  5.0000000e-01 -2.0000000e-01 
    93 :  5.0000000e-01 -1.0000000e-01 
    94 :  5.0000000e-01  0.0000000e+00 
    95 :  5.0000000e-01  1.0000000e-01 
