Number of nodes 487 
     0 :  2.9083386e+00 -2.3567511e+00 
     1 :  2.9794867e+00 -6.9623639e-01 
     2 :  3.5350000e+01  2.7000000e+00 
     3 :  3.5350000e+01  2.9000000e+00 
     4 : -2.9083386e+00 -2.3567511e+00 
     5 : -2.9794867e+00 -6.9623639e-01 
     6 : -3.5350000e+01  2.7000000e+00 
     7 : -3.5350000e+01  2.9000000e+00 
     8 : -4.9555584e-01  2.9385072e+00 
     9 :  4.9555584e-01  2.9385072e+00 
    10 :  0.0000000e+00  1.1100000e+01 
    11 :  2.5115771e+00  1.6038642e+00 
    12 :  2.2042712e+00  2.0053898e+00 
    13 : -2.5115771e+00  1.6038642e+00 
    14 : -2.2042712e+00  2.0053898e+00 
    15 : -2.9800000e+00  0.0000000e+00 
    16 :  2.9800000e+00  0.0000000e+00 
    17 :  1.7145055e-16 -2.8000000e+00 
    18 :  6.3791002e+00 -1.5595868e+00 
    19 :  8.5711628e+00 -1.2941619e+00 
    20 :  1.1620754e+01 -1.0107743e+00 
    21 :  1.5852721e+01 -6.4491363e-01 
    22 :  2.1149316e+01 -9.0934499e-02 
    23 :  2.5231392e+01  4.7825745e-01 
    24 :  2.8159495e+01  9.8873462e-01 
    25 :  3.1767150e+01  1.7583211e+00 
    26 :  3.4188124e+01  2.3737083e+00 
    27 :  3.5441075e+01  2.7394721e+00 
    28 :  3.5529057e+01  2.7853954e+00 
    29 :  3.5611806e+01  2.8401303e+00 
    30 :  3.5685756e+01  2.9061947e+00 
    31 :  3.5746909e+01  2.9842290e+00 
    32 :  3.5794863e+01  3.0710662e+00 
    33 :  3.5831610e+01  3.1632322e+00 
    34 :  3.5858537e+01  3.2587481e+00 
    35 :  3.5877237e+01  3.3562226e+00 
    36 :  3.5889283e+01  3.4547500e+00 
    37 :  3.5896113e+01  3.5537821e+00 
    38 :  3.5899173e+01  3.6530071e+00 
    39 :  3.5899972e+01  3.7522789e+00 
    40 :  3.5900000e+01  3.8515548e+00 
    41 :  3.5900000e+01  3.9508308e+00 
    42 :  3.5900000e+01  4.0501067e+00 
    43 :  3.5900000e+01  4.1493827e+00 
    44 :  3.5900000e+01  4.2486587e+00 
    45 :  3.5900000e+01  4.3479347e+00 
    46 :  3.5900000e+01  4.4472106e+00 
    47 :  3.5900000e+01  4.5464866e+00 
    48 :  3.5899569e+01  4.6457603e+00 
    49 :  3.5877118e+01  4.7308307e+00 
    50 :  3.5833023e+01  4.6429281e+00 
    51 :  3.5807692e+01  4.5469883e+00 
    52 :  3.5790470e+01  4.4492334e+00 
    53 :  3.5777952e+01  4.3507557e+00 
    54 :  3.5768580e+01  4.2519262e+00 
